country_url,country,capital,language,currency
http://www.wikidata.org/entity/Q800,Коста-Рика,Сан-Хосе,испанский язык,костариканский колон
http://www.wikidata.org/entity/Q1008,Кот-д’Ивуар,Ямусукро,французский язык,Франк КФА BCEAO
http://www.wikidata.org/entity/Q241,Куба,Гавана,испанский язык,кубинское песо
http://www.wikidata.org/entity/Q817,Кувейт,Кувейт,арабский язык,кувейтский динар
http://www.wikidata.org/entity/Q819,Лаос,Вьентьян,лаосский язык,лаосский кип
http://www.wikidata.org/entity/Q211,Латвия,Рига,латышский язык,евро
http://www.wikidata.org/entity/Q1013,Лесото,Масеру,сесото,Лоти Лесото
http://www.wikidata.org/entity/Q1014,Либерия,Монровия,английский язык,Либерийский доллар
http://www.wikidata.org/entity/Q822,Ливан,Бейрут,арабский язык,ливанский фунт
http://www.wikidata.org/entity/Q1016,Ливия,Триполи,арабский язык,Ливийский динар
http://www.wikidata.org/entity/Q37,Литва,Вильнюс,литовский язык,евро
http://www.wikidata.org/entity/Q347,Лихтенштейн,Вадуц,немецкий язык,швейцарский франк
http://www.wikidata.org/entity/Q32,Люксембург,Люксембург,французский язык,евро
http://www.wikidata.org/entity/Q1027,Маврикий,Порт-Луи,французский язык,Маврикийская рупия
http://www.wikidata.org/entity/Q1025,Мавритания,Нуакшот,арабский язык,Мавританская угия
http://www.wikidata.org/entity/Q1019,Мадагаскар,Антананариву,французский язык,Малагасийский ариари
http://www.wikidata.org/entity/Q1020,Малави,Лилонгве,английский язык,Малавийская квача
http://www.wikidata.org/entity/Q833,Малайзия,Куала-Лумпур,английский язык,малайзийский ринггит
http://www.wikidata.org/entity/Q912,Мали,Бамако,французский язык,Франк КФА BCEAO
http://www.wikidata.org/entity/Q826,Мальдивы,Мале,мальдивский язык,мальдивская руфия
http://www.wikidata.org/entity/Q233,Мальта,Валлетта,английский язык,евро
http://www.wikidata.org/entity/Q1028,Марокко,Рабат,арабский язык,Марокканский дирхам
http://www.wikidata.org/entity/Q709,Маршалловы Острова,Маджуро,английский язык,доллар США
